px_est	py_est	v_est	yaw_ang_est	yaw_rate_est	sensor_type	NIS	px_meas	py_meas	px_gt	py_gt	vx_gt	vy_gt	yaw_ang_gt	yaw_rate_gt	NIS_laser	NIS_radar
0.312243	0.58034	0	0	0	lidar	1.36955e-030	0.312243	0.58034	0.6	0.6	5.19994	0	0	0.00691132	1.36955e-030	7.8
0.740308	0.592839	8.37744	2.16003e-018	4.90675e-018	radar	18.0602	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0.000345566	0.0138215	1.36955e-030	18.0602
1.14572	0.562895	8.37145	-0.0162969	-0.0114767	lidar	0.42754	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.00103664	0.0207296	0.42754	18.0602
1.27769	0.529488	5.40623	-0.0558615	-0.0896112	radar	13.4963	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0.00207312	0.0276344	0.42754	13.4963
1.56981	0.53141	5.47842	-0.0596287	-0.0877076	lidar	0.83518	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.00345484	0.0345348	0.83518	13.4963
1.82727	0.541242	5.4337	-0.0296073	-0.0295218	radar	0.826483	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0.00518158	0.0414297	0.83518	0.826483
2.11544	0.54785	5.4729	-0.0243763	-0.0107245	lidar	0.815887	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.00725307	0.0483182	0.815887	0.826483
2.32937	0.596226	5.29116	0.0380108	0.110242	radar	3.48915	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	0.00966898	0.0551989	0.815887	3.48915
2.60372	0.615428	5.31167	0.0487693	0.125941	lidar	0.275503	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.0124289	0.062071	0.275503	3.48915
2.86702	0.631019	5.30302	0.0564292	0.128861	radar	0.0485751	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.0155325	0.0689333	0.275503	0.0485751
3.11013	0.646694	5.2672	0.0664526	0.132487	lidar	0.520771	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.0189791	0.0757847	0.520771	0.0485751
